Delmode	0.362633
HxnumCS	0.241033
ROMmeth	0.213418
TrialLabor	0.213426
Inoxy_incrdose	0.202524
Dilat_lst	0.20195
Insurance	0.202395
Admcontract	0.198903
Admpresent	0.179569
BESTGA	0.180106
Analgesia	0.170384
AdmSBP	0.168075
prelaborCD	0.166773
Lac_Min	0.166042
AdmDBP	0.160039
CS_FTP	0.15475
uscar	0.152719
DMControl	0.149369
HosEpiNurse	0.151235
CS_UScar	0.150693
Education	0.14819
Hxcsection	0.146115
Intratocolytix	0.146291
GAmethod	0.135101
Hostype	0.132908
Admefface	0.129889
Episiotomy	0.124701
AdmBishop	0.12
Hxanemia	0.122506
Ind_Unkn	0.118547
CS_NRFHT	0.119482
HospElectCS	0.116207
Augment	0.110535
Presentdel	0.10541
breech	0.102097
intra_previa	0.103374
intra_abruptio	0.102092
Anteanemia	0.101103
Lac_None	0.097058
vertex	0.095754
Anteprevia	0.09469
momrace_new	0.093741
Admconsistency	0.093512
spontlabor	0.091826
IntraMgSO	0.091849
Intrafetdistress	0.091688
Admcervpos	0.090126
Malpresentation9	0.086257
Anteabruption	0.087778
Intrafever	0.087031
